a,b,S_star,transcendental
-98.99497487437186,-46.73366834170855,33.53309904273731,1
-98.99497487437186,-45.72864321608041,-46.610904473941595,1
-98.99497487437186,-44.72361809045226,-108.31758657222655,1
-98.99497487437186,-43.718592964824126,1.8884702792009094,1
-98.99497487437186,-42.71356783919599,37.59864393937389,1
-98.99497487437186,-41.708542713567844,8.96371364635078,1
-98.99497487437186,-40.7035175879397,-105.98461413857198,1
-98.99497487437186,-39.69849246231156,-24.59469248812804,1
-98.99497487437186,-38.693467336683426,-86.15446563612568,1
-98.99497487437186,-37.68844221105528,41.31480905235777,1
-98.99497487437186,-36.68341708542714,-92.66558302010937,1
-98.99497487437186,-35.678391959799,-64.42504583906154,1
-98.99497487437186,-34.673366834170864,95.11125107204268,1
-98.99497487437186,-33.66834170854273,-92.087873359387,1
-98.99497487437186,-32.663316582914575,-8.18712069690741,1
-98.99497487437186,-31.65829145728644,-101.87601070069708,1
-98.99497487437186,-30.6532663316583,-28.23608143209365,1
-98.99497487437186,-29.64824120603015,-54.168559007825614,1
-98.99497487437186,-28.643216080402013,85.08951253791834,1
-98.99497487437186,-27.638190954773876,91.79892499158174,1
-98.99497487437186,-26.63316582914574,76.78387737067573,1
-98.99497487437186,-25.6281407035176,-54.72490487896701,1
-98.99497487437186,-24.62311557788945,75.47921134559833,1
-98.99497487437186,-23.618090452261313,-98.5607054661126,1
-98.99497487437186,-22.613065326633176,10.589959456242605,1
-98.99497487437186,-21.608040201005025,99.57132622954265,1
-98.99497487437186,-20.603015075376888,37.508864933107205,1
-98.99497487437186,-19.59798994974875,-13.824491145241662,1
-98.99497487437186,-18.592964824120614,-99.74161380380856,1
-98.99497487437186,-17.587939698492477,96.88111593252121,1
-98.99497487437186,-16.582914572864325,-78.91861657724567,1
-98.99497487437186,-15.577889447236188,-97.45793733394635,1
-98.99497487437186,-14.572864321608051,-58.264320521768965,1
-98.99497487437186,-13.5678391959799,-32.056868426044275,1
-98.99497487437186,-12.562814070351763,-26.37486314966526,1
-98.99497487437186,-11.557788944723626,51.18818546362267,1
-98.99497487437186,-10.552763819095489,20.379536877306222,1
-98.99497487437186,-9.547738693467352,-28.33421101405278,1
-98.99497487437186,-8.5427135678392,38.90823449447076,1
-98.99497487437186,-7.5376884422110635,-87.58228527019237,1
-98.99497487437186,-6.532663316582926,45.507682798774944,1
-98.99497487437186,-5.527638190954775,-45.51237866725397,1
-98.99497487437186,-4.522613065326638,91.99837122326656,1
-98.99497487437186,-3.517587939698501,-69.34825422497956,1
-98.99497487437186,-2.512562814070364,41.037208621926645,1
-98.99497487437186,-1.507537688442227,-98.9952314848088,1
-98.99497487437186,-0.5025125628140756,-98.96332300821378,1
-98.99497487437186,0.5025125628140614,98.96201893391566,1
-98.99497487437186,1.5075376884421985,98.9956136848685,1
-98.99497487437186,2.5125628140703498,-12.85642612653525,1
-98.99497487437186,3.517587939698487,-77.00976540251838,1
-98.99497487437186,4.522613065326624,-98.44393529383686,1
-98.99497487437186,5.527638190954761,-39.03878876328715,1
-98.99497487437186,6.532663316582898,85.08911713607115,1
-98.99497487437186,7.537688442211049,-92.5499227170195,1
-98.99497487437186,8.542713567839186,-76.03528712037034,1
-98.99497487437186,9.547738693467323,-91.47254825253931,1
-98.99497487437186,10.552763819095475,78.89117858887954,1
-98.99497487437186,11.557788944723612,52.6706669123134,1
-98.99497487437186,12.562814070351749,77.3738831444192,1
-98.99497487437186,13.567839195979886,91.25949265151856,1
-98.99497487437186,14.572864321608023,-75.93044667517484,1
-98.99497487437186,15.577889447236174,23.230323793177728,1
-98.99497487437186,16.58291457286431,84.79149351516345,1
-98.99497487437186,17.58793969849245,-66.15428586873642,1
-98.99497487437186,18.5929648241206,-50.12192320343571,1
-98.99497487437186,19.597989949748737,-96.57274886623198,1
-98.99497487437186,20.603015075376874,-39.46831035558188,1
-98.99497487437186,21.60804020100501,97.60786855726538,1
-98.99497487437186,22.613065326633148,93.72482170544905,1
-98.99497487437186,23.6180904522613,7.0058096675028665,1
-98.99497487437186,24.623115577889436,29.413570451874257,1
-98.99497487437186,25.628140703517573,65.24295802366188,1
-98.99497487437186,26.633165829145725,-82.7833986030129,1
-98.99497487437186,27.63819095477386,72.73347904188368,1
-98.99497487437186,28.643216080402,-60.41518827174659,1
-98.99497487437186,29.64824120603015,-4.967466122643945,1
-98.99497487437186,30.653266331658273,81.6322462820822,1
-98.99497487437186,31.658291457286424,-7.61208441191199,1
-98.99497487437186,32.66331658291455,-97.42364942722563,1
-98.99497487437186,33.6683417085427,-78.40162782735081,1
-98.99497487437186,34.67336683417085,45.860213726856,1
-98.99497487437186,35.67839195979897,-13.98760650934285,1
-98.99497487437186,36.68341708542712,-78.12929116563474,1
-98.99497487437186,37.688442211055275,105.86125537613293,1
-98.99497487437186,38.6934673366834,-97.10738845456707,1
-98.99497487437186,39.69849246231155,106.35387786554973,1
-98.99497487437186,40.7035175879397,-62.18624405098032,1
-98.99497487437186,41.70854271356782,-9.026219309868427,1
-98.99497487437186,42.713567839195974,4.569947525712301,1
-98.99497487437186,43.7185929648241,-36.387391010563015,1
-98.99497487437186,44.72361809045225,87.7300080633903,1
-98.99497487437186,45.7286432160804,105.89866891009186,1
-98.99497487437186,46.73366834170852,103.60979514576098,1
-98.99497487437186,47.738693467336674,55.728250558655546,1
-98.99497487437186,48.7437185929648,-77.89518860276803,1
-98.99497487437186,49.74874371859295,-110.14029079738053,1
-98.99497487437186,50.7537688442211,-111.0302810849818,1
-98.99497487437186,51.75879396984922,1.8507419950368131,1
-98.99497487437186,52.76381909547737,-108.96350821945927,1
-98.99497487437186,53.768844221105525,-112.25531517886115,1
-98.99497487437186,54.77386934673365,6.533210244751054,1
-98.99497487437186,55.7788944723618,-112.30891152383737,1
-98.99497487437186,56.78391959798995,45.406250871244374,1
-98.99497487437186,57.78894472361807,-107.34294310908513,1
-98.99497487437186,58.793969849246224,104.32848754858908,1
-98.99497487437186,59.79899497487435,-112.2043587801118,1
-98.99497487437186,60.8040201005025,-77.46729709942713,1
-98.99497487437186,61.80904522613065,57.62117378454459,1
-98.99497487437186,62.81407035175877,-101.02993709165266,1
-98.99497487437186,63.819095477386924,8.314858851134822,1
-98.99497487437186,64.82412060301505,-110.82913273760256,1
